Game_id,Score,Steps,Epsilon
742,0,39,0.2619999999999998
743,0,276,0.2609999999999998
744,0,20,0.2599999999999998
745,2,436,0.2589999999999998
746,0,108,0.2579999999999998
747,0,15,0.2569999999999998
748,0,114,0.2559999999999998
749,0,220,0.2549999999999998
750,0,305,0.2539999999999998
751,0,651,0.2529999999999998
752,0,28,0.2519999999999998
753,0,191,0.2509999999999998
754,0,572,0.24999999999999978
755,1,111,0.24899999999999978
756,0,544,0.24799999999999978
757,0,944,0.24699999999999978
758,1,439,0.24599999999999977
759,0,91,0.24499999999999977
760,0,36,0.24399999999999977
761,0,91,0.24299999999999977
762,0,349,0.24199999999999977
763,0,347,0.24099999999999977
764,0,263,0.23999999999999977
765,1,95,0.23899999999999977
766,0,26,0.23799999999999977
767,0,56,0.23699999999999977
768,1,328,0.23599999999999977
769,2,280,0.23499999999999976
770,1,840,0.23399999999999976
771,0,282,0.23299999999999976
772,0,271,0.23199999999999976
773,1,101,0.23099999999999976
774,0,602,0.22999999999999976
775,1,176,0.22899999999999976
776,0,265,0.22799999999999976
777,0,528,0.22699999999999976
778,1,276,0.22599999999999976
779,0,164,0.22499999999999976
780,0,149,0.22399999999999975
781,0,14,0.22299999999999975
782,0,16,0.22199999999999975
783,0,146,0.22099999999999975
784,0,334,0.21999999999999975
785,0,348,0.21899999999999975
786,0,787,0.21799999999999975
787,0,21,0.21699999999999975
788,1,836,0.21599999999999975
789,0,608,0.21499999999999975
790,0,36,0.21399999999999975
791,0,109,0.21299999999999975
792,0,33,0.21199999999999974
793,0,28,0.21099999999999974
794,0,158,0.20999999999999974
795,0,684,0.20899999999999974
796,0,399,0.20799999999999974
797,1,354,0.20699999999999974
798,0,52,0.20599999999999974
799,0,39,0.20499999999999974
800,0,335,0.20399999999999974
801,1,363,0.20299999999999974
802,1,269,0.20199999999999974
803,0,243,0.20099999999999973
804,0,1137,0.19999999999999973
805,0,456,0.19899999999999973
806,0,549,0.19799999999999973
807,1,46,0.19699999999999973
808,1,93,0.19599999999999973
809,0,16,0.19499999999999973
810,0,28,0.19399999999999973
811,0,58,0.19299999999999973
812,0,134,0.19199999999999973
813,1,20,0.19099999999999973
814,0,86,0.18999999999999972
815,0,107,0.18899999999999972
816,0,37,0.18799999999999972
817,0,147,0.18699999999999972
818,0,29,0.18599999999999972
819,1,195,0.18499999999999972
820,0,119,0.18399999999999972
821,0,24,0.18299999999999972
822,1,439,0.18199999999999972
823,1,161,0.18099999999999972
824,0,641,0.17999999999999972
825,0,26,0.17899999999999971
826,0,26,0.17799999999999971
827,0,252,0.1769999999999997
828,0,395,0.1759999999999997
829,0,805,0.1749999999999997
830,0,205,0.1739999999999997
