Game_id,Score,Steps,Epsilon
1,0,181,0.9999999999999999
2,0,200,0.9989999999999999
3,0,79,0.9979999999999999
4,0,217,0.9969999999999999
5,0,76,0.9959999999999999
6,0,68,0.9949999999999999
7,0,91,0.9939999999999999
8,0,30,0.9929999999999999
9,0,137,0.9919999999999999
10,0,49,0.9909999999999999
11,0,86,0.9899999999999999
12,0,45,0.9889999999999999
13,0,61,0.9879999999999999
14,0,340,0.9869999999999999
15,1,54,0.9859999999999999
16,0,133,0.9849999999999999
17,1,24,0.9839999999999999
18,0,52,0.9829999999999999
19,1,13,0.9819999999999999
20,0,153,0.9809999999999999
21,1,127,0.9799999999999999
22,0,36,0.9789999999999999
23,0,66,0.9779999999999999
24,0,131,0.9769999999999999
25,0,62,0.9759999999999999
26,0,56,0.9749999999999999
27,1,34,0.9739999999999999
28,0,41,0.9729999999999999
29,0,139,0.9719999999999999
30,0,163,0.9709999999999999
31,0,138,0.9699999999999999
32,0,81,0.9689999999999999
33,0,79,0.9679999999999999
34,0,42,0.9669999999999999
35,0,37,0.9659999999999999
36,0,170,0.9649999999999999
37,0,40,0.9639999999999999
38,0,57,0.9629999999999999
39,0,54,0.9619999999999999
40,0,42,0.9609999999999999
41,0,47,0.9599999999999999
42,0,29,0.9589999999999999
43,0,22,0.9579999999999999
44,1,15,0.9569999999999999
45,1,53,0.9559999999999998
46,0,125,0.9549999999999998
47,0,37,0.9539999999999998
48,0,58,0.9529999999999998
49,0,23,0.9519999999999998
50,0,29,0.9509999999999998
51,0,68,0.9499999999999998
52,0,101,0.9489999999999998
53,0,47,0.9479999999999998
54,0,30,0.9469999999999998
55,0,50,0.9459999999999998
56,0,24,0.9449999999999998
57,1,42,0.9439999999999998
58,0,48,0.9429999999999998
59,0,44,0.9419999999999998
60,0,81,0.9409999999999998
61,0,54,0.9399999999999998
62,0,34,0.9389999999999998
63,0,43,0.9379999999999998
64,0,78,0.9369999999999998
65,0,136,0.9359999999999998
66,0,57,0.9349999999999998
67,0,80,0.9339999999999998
68,0,81,0.9329999999999998
69,0,57,0.9319999999999998
70,0,93,0.9309999999999998
71,1,83,0.9299999999999998
72,0,48,0.9289999999999998
73,0,123,0.9279999999999998
74,0,56,0.9269999999999998
75,0,29,0.9259999999999998
76,0,62,0.9249999999999998
77,1,155,0.9239999999999998
78,0,42,0.9229999999999998
79,0,58,0.9219999999999998
80,0,73,0.9209999999999998
81,0,120,0.9199999999999998
82,1,59,0.9189999999999998
83,0,53,0.9179999999999998
84,0,34,0.9169999999999998
85,0,42,0.9159999999999998
86,1,60,0.9149999999999998
87,0,110,0.9139999999999998
88,0,41,0.9129999999999998
89,0,56,0.9119999999999998
90,0,56,0.9109999999999998
91,1,64,0.9099999999999998
